Rider,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
VELITS Peter,0,1735,1735,1735,1735,1740,1740,2402,3520,3520,3740,3740,3740,3740,4424
KRISTOFF Alexander,0,1735,2348,2415,2415,2415,3908,11015,13615,13615,14118,14118,14118,14118,21354
KOREN Kristijan,0,539,539,612,612,617,617,3521,10013,10013,10433,10433,11318,11318,14054
FEDRIGO Pierrick,0,407,407,501,501,506,506,3400,5406,5546,5859,5859,10744,10744,12750
HERNANDEZ BLAZQUEZ Jesus,0,539,1405,1413,2421,2939,2939,3431,4549,5212,5744,10145,10145,10145,10758
LE MEVEL Christophe,0,1,1,120,120,125,1618,3922,5040,5040,5531,5531,10416,10416,13152
THOMAS Geraint,0,1735,2650,2737,3745,4303,5756,12903,15126,15306,15634,15634,15804,20109,22905
FUGLSANG Jakob,0,1,1,56,56,101,101,327,307,307,548,548,439,439,622
NAVARRO Daniel,0,1,1,120,120,125,125,1030,1030,1030,1450,1450,1450,1450,2336
MARTIN Daniel,0,1,1,17,17,22,22,248,228,228,552,552,552,552,828
COSTA Rui Alberto,0,1,1,20,20,25,25,245,245,245,537,537,1422,1422,3342
HANSEN Adam,0,1,1,17,17,22,1515,4409,10632,10736,11116,11116,12001,12001,13030
NORDHAUG Lars-Peter,0,1,1,37,37,42,42,2346,3504,3755,4259,4700,5545,5545,10901
MOLLEMA Bauke,0,1,1,37,37,42,42,144,144,144,337,337,228,228,414
IMPEY Daryl,0,1,1,0,0,0,0,742,3005,3141,3553,3553,4438,4438,10745
CLARKE Simon,0,1735,1735,1736,1736,1741,1741,4635,5322,5512,5957,10257,11524,11524,12840
BAK Lars Ytting,0,1244,1746,1802,1802,1807,3310,10417,12423,12603,12806,13106,13106,12349,15125
